# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	259	1725	+					dnaA		BEI_RS00005	1467		old_locus_tag=BEI_0001
CDS	with_protein	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	259	1725	+	WP_097787580.1	WP_097787580.1		chromosomal replication initiator protein DnaA	dnaA		BEI_RS00005	1467	488	
gene	protein_coding	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	1797	2900	+					dnaN		BEI_RS00010	1104		old_locus_tag=BEI_0002
CDS	with_protein	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	1797	2900	+	WP_097787581.1	WP_097787581.1		DNA polymerase III subunit beta	dnaN		BEI_RS00010	1104	367	
gene	protein_coding	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	2936	4051	+					recF		BEI_RS00015	1116		old_locus_tag=BEI_0003
CDS	with_protein	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	2936	4051	+	WP_097787582.1	WP_097787582.1		DNA replication/repair protein RecF	recF		BEI_RS00015	1116	371	
gene	protein_coding	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	4063	6483	+					gyrB		BEI_RS00020	2421		old_locus_tag=BEI_0004
CDS	with_protein	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	4063	6483	+	WP_097787583.1	WP_097787583.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		BEI_RS00020	2421	806	
gene	protein_coding	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	6660	7220	-					gmhB		BEI_RS00025	561		old_locus_tag=BEI_0005
CDS	with_protein	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	6660	7220	-	WP_097787584.1	WP_097787584.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	gmhB		BEI_RS00025	561	186	
gene	protein_coding	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	7561	9627	-					glyS		BEI_RS00030	2067		old_locus_tag=BEI_0006
CDS	with_protein	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	7561	9627	-	WP_097787585.1	WP_097787585.1		glycine--tRNA ligase subunit beta	glyS		BEI_RS00030	2067	688	
gene	protein_coding	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	9629	10576	-					glyQ		BEI_RS00035	948		old_locus_tag=BEI_0007
CDS	with_protein	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	9629	10576	-	WP_097787586.1	WP_097787586.1		glycine--tRNA ligase subunit alpha	glyQ		BEI_RS00035	948	315	
gene	protein_coding	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	10863	11819	+					rfaD		BEI_RS00045	957		old_locus_tag=BEI_0008
CDS	with_protein	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	10863	11819	+	WP_097787588.1	WP_097787588.1		ADP-glyceromanno-heptose 6-epimerase	rfaD		BEI_RS00045	957	318	
gene	protein_coding	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	11812	12828	+					waaF		BEI_RS00050	1017		old_locus_tag=BEI_0009
CDS	with_protein	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	11812	12828	+	WP_097787589.1	WP_097787589.1		lipopolysaccharide heptosyltransferase II	waaF		BEI_RS00050	1017	338	
gene	protein_coding	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	12825	14447	-							BEI_RS00055	1623		old_locus_tag=BEI_0010
CDS	with_protein	GCF_002549795.1	Primary Assembly	chromosome		NZ_CP021435.1	12825	14447	-	WP_097787590.1	WP_097787590.1		sulfatase-like hydrolase/transferase			BEI_RS00055	1623	540	
