# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	228	1694	+					dnaA		HELO_RS00005	1467		old_locus_tag=HELO_1001
CDS	with_protein	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	228	1694	+	WP_013330759.1	WP_013330759.1		chromosomal replication initiator protein DnaA	dnaA		HELO_RS00005	1467	488	
gene	protein_coding	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	1766	2869	+					dnaN		HELO_RS00010	1104		old_locus_tag=HELO_1002
CDS	with_protein	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	1766	2869	+	WP_013330760.1	WP_013330760.1		DNA polymerase III subunit beta	dnaN		HELO_RS00010	1104	367	
gene	protein_coding	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	2939	4054	+					recF		HELO_RS00015	1116		old_locus_tag=HELO_1003
CDS	with_protein	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	2939	4054	+	WP_013330761.1	WP_013330761.1		DNA replication/repair protein RecF	recF		HELO_RS00015	1116	371	
gene	protein_coding	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	4066	6486	+					gyrB		HELO_RS00020	2421		old_locus_tag=HELO_1004
CDS	with_protein	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	4066	6486	+	WP_013330762.1	WP_013330762.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		HELO_RS00020	2421	806	
gene	protein_coding	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	6677	7237	-					gmhB		HELO_RS00025	561		old_locus_tag=HELO_1005
CDS	with_protein	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	6677	7237	-	WP_013330763.1	WP_013330763.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	gmhB		HELO_RS00025	561	186	
gene	protein_coding	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	7497	8498	-							HELO_RS00030	1002		old_locus_tag=HELO_1006
CDS	with_protein	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	7497	8498	-	WP_013330764.1	WP_013330764.1		NAD-dependent epimerase			HELO_RS00030	1002	333	
gene	protein_coding	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	8710	9795	+							HELO_RS00035	1086		old_locus_tag=HELO_1007
CDS	with_protein	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	8710	9795	+	WP_013330765.1	WP_013330765.1		glycosyltransferase			HELO_RS00035	1086	361	
gene	protein_coding	GCF_000196875.2	Primary Assembly	chromosome		NC_014532.2	9857	11146	-							HELO_RS00040	1290		old_locus_tag=HELO_1008
