# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	1	104	+					rrf		LOKO_RS00005	104		old_locus_tag=LOKO_00001
rRNA		GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	1	104	+				5S ribosomal RNA	rrf		LOKO_RS00005	104		
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	289	570	-							LOKO_RS00010	282		old_locus_tag=LOKO_00002
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	289	570	-	WP_066443334.1	WP_066443334.1		hypothetical protein			LOKO_RS00010	282	93	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	948	2300	-					gdhA		LOKO_RS00015	1353		old_locus_tag=LOKO_00003
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	948	2300	-	WP_066443337.1	WP_066443337.1		NADP-specific glutamate dehydrogenase	gdhA		LOKO_RS00015	1353	450	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	2553	2996	+							LOKO_RS00020	444		old_locus_tag=LOKO_00004
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	2553	2996	+	WP_066443339.1	WP_066443339.1		DUF2721 domain-containing protein			LOKO_RS00020	444	147	
gene	pseudogene	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	3041	3610	+					rlmM		LOKO_RS18455	570		partial;pseudo
CDS	without_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	3041	3610	+				23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM	rlmM		LOKO_RS18455	570		partial;pseudo
gene	rRNA	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	3621	3736	+					rrf		LOKO_RS00025	116		old_locus_tag=LOKO_00005
rRNA		GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	3621	3736	+				5S ribosomal RNA	rrf		LOKO_RS00025	116		
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	3894	4061	+							LOKO_RS18460	168		old_locus_tag=LOKO_00006
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	3894	4061	+	WP_083517348.1	WP_083517348.1		transposase			LOKO_RS18460	168	55	
gene	rRNA	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	4168	7027	+							LOKO_RS00030	2860		old_locus_tag=LOKO_00007
rRNA		GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	4168	7027	+				23S ribosomal RNA			LOKO_RS00030	2860		
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	7107	8120	-							LOKO_RS00035	1014		old_locus_tag=LOKO_00008
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	7107	8120	-	WP_066443342.1	WP_066443342.1		aldo/keto reductase			LOKO_RS00035	1014	337	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	8979	9569	+							LOKO_RS00040	591		old_locus_tag=LOKO_00009
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	8979	9569	+	WP_066443344.1	WP_066443344.1		DUF4202 domain-containing protein			LOKO_RS00040	591	196	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	9772	10029	+							LOKO_RS00045	258		old_locus_tag=LOKO_00010
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	9772	10029	+	WP_066443346.1	WP_066443346.1		hypothetical protein			LOKO_RS00045	258	85	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	10051	11115	-							LOKO_RS00050	1065		old_locus_tag=LOKO_00011
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	10051	11115	-	WP_066443348.1	WP_066443348.1		C45 family autoproteolytic acyltransferase/hydolase			LOKO_RS00050	1065	354	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	11435	12640	+							LOKO_RS00055	1206		old_locus_tag=LOKO_00012
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	11435	12640	+	WP_066443356.1	WP_066443356.1		ABC transporter substrate-binding protein			LOKO_RS00055	1206	401	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	12712	14019	-							LOKO_RS00060	1308		old_locus_tag=LOKO_00013
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	12712	14019	-	WP_066443359.1	WP_066443359.1		branched-chain amino acid ABC transporter permease			LOKO_RS00060	1308	435	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	14019	15023	-							LOKO_RS00065	1005		old_locus_tag=LOKO_00014
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	14019	15023	-	WP_066443361.1	WP_066443361.1		branched-chain amino acid ABC transporter permease			LOKO_RS00065	1005	334	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	15049	15753	-							LOKO_RS00070	705		old_locus_tag=LOKO_00015
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	15049	15753	-	WP_066443363.1	WP_066443363.1		ABC transporter ATP-binding protein			LOKO_RS00070	705	234	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	15889	16659	-							LOKO_RS00075	771		old_locus_tag=LOKO_00016
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	15889	16659	-	WP_066443365.1	WP_066443365.1		ABC transporter ATP-binding protein			LOKO_RS00075	771	256	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	16798	18243	-							LOKO_RS00080	1446		old_locus_tag=LOKO_00017
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	16798	18243	-	WP_066443367.1	WP_066443367.1		sodium-dependent transporter			LOKO_RS00080	1446	481	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	18419	18745	-							LOKO_RS00085	327		old_locus_tag=LOKO_00018
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	18419	18745	-	WP_066443369.1	WP_066443369.1		hypothetical protein			LOKO_RS00085	327	108	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	18999	19850	+							LOKO_RS00090	852		old_locus_tag=LOKO_00019
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	18999	19850	+	WP_066443373.1	WP_066443373.1		MurR/RpiR family transcriptional regulator			LOKO_RS00090	852	283	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	20089	21441	-							LOKO_RS00095	1353		old_locus_tag=LOKO_00020
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	20089	21441	-	WP_083517349.1	WP_083517349.1		tripartite tricarboxylate transporter permease			LOKO_RS00095	1353	450	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	21443	21901	-							LOKO_RS00100	459		old_locus_tag=LOKO_00021
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	21443	21901	-	WP_066443374.1	WP_066443374.1		hypothetical protein			LOKO_RS00100	459	152	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	22478	23884	+					glnA		LOKO_RS00105	1407		old_locus_tag=LOKO_00022
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	22478	23884	+	WP_066443376.1	WP_066443376.1		glutamate--ammonia ligase	glnA		LOKO_RS00105	1407	468	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	24076	24621	+							LOKO_RS00110	546		old_locus_tag=LOKO_00023
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	24076	24621	+	WP_066443377.1	WP_066443377.1		DUF4124 domain-containing protein			LOKO_RS00110	546	181	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	24900	25946	+					glnL		LOKO_RS00115	1047		old_locus_tag=LOKO_00024
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	24900	25946	+	WP_066443381.1	WP_066443381.1		nitrogen regulation protein NR(II)	glnL		LOKO_RS00115	1047	348	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	25939	27351	+					ntrC		LOKO_RS00120	1413		old_locus_tag=LOKO_00025
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	25939	27351	+	WP_066443383.1	WP_066443383.1		nitrogen regulation protein NR(I)	ntrC		LOKO_RS00120	1413	470	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	27424	28758	+							LOKO_RS00125	1335		old_locus_tag=LOKO_00026
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	27424	28758	+	WP_066443387.1	WP_066443387.1		deoxyguanosinetriphosphate triphosphohydrolase			LOKO_RS00125	1335	444	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	28834	29748	-							LOKO_RS00130	915		old_locus_tag=LOKO_00027
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	28834	29748	-	WP_066443390.1	WP_066443390.1		NERD domain-containing protein			LOKO_RS00130	915	304	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	29861	30724	+							LOKO_RS00135	864		old_locus_tag=LOKO_00028
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	29861	30724	+	WP_066443393.1	WP_066443393.1		NAD-dependent protein deacetylase			LOKO_RS00135	864	287	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	30696	31103	-							LOKO_RS00140	408		old_locus_tag=LOKO_00029
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	30696	31103	-	WP_066443396.1	WP_066443396.1		YbaY family lipoprotein			LOKO_RS00140	408	135	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	31117	31491	-							LOKO_RS00145	375		old_locus_tag=LOKO_00030
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	31117	31491	-	WP_066443399.1	WP_066443399.1		translation initiation factor Sui1			LOKO_RS00145	375	124	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	31626	32324	-							LOKO_RS00150	699		old_locus_tag=LOKO_00031
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	31626	32324	-	WP_066443401.1	WP_066443401.1		HAD-IA family hydrolase			LOKO_RS00150	699	232	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	32848	33243	+							LOKO_RS00155	396		old_locus_tag=LOKO_00032
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	32848	33243	+	WP_066443404.1	WP_066443404.1		hypothetical protein			LOKO_RS00155	396	131	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	33382	33717	+							LOKO_RS00160	336		old_locus_tag=LOKO_00033
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	33382	33717	+	WP_066443413.1	WP_066443413.1		hypothetical protein			LOKO_RS00160	336	111	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	33765	35153	-							LOKO_RS00165	1389		old_locus_tag=LOKO_00034
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	33765	35153	-	WP_066443416.1	WP_066443416.1		SLC13 family permease			LOKO_RS00165	1389	462	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	35330	35683	-							LOKO_RS00170	354		old_locus_tag=LOKO_00035
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	35330	35683	-	WP_066443420.1	WP_066443420.1		hypothetical protein			LOKO_RS00170	354	117	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	35841	36905	-					fba		LOKO_RS00175	1065		old_locus_tag=LOKO_00036
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	35841	36905	-	WP_066443422.1	WP_066443422.1		fructose-bisphosphate aldolase class II	fba		LOKO_RS00175	1065	354	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	37018	38184	-							LOKO_RS00180	1167		old_locus_tag=LOKO_00037
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	37018	38184	-	WP_066443425.1	WP_066443425.1		phosphoglycerate kinase			LOKO_RS00180	1167	388	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	38248	39273	-							LOKO_RS00185	1026		old_locus_tag=LOKO_00038
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	38248	39273	-	WP_066443428.1	WP_066443428.1		aldehyde dehydrogenase			LOKO_RS00185	1026	341	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	39348	40070	-							LOKO_RS00190	723		old_locus_tag=LOKO_00039
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	39348	40070	-	WP_066443432.1	WP_066443432.1		LrgB family protein			LOKO_RS00190	723	240	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	40063	40419	-							LOKO_RS00195	357		old_locus_tag=LOKO_00040
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	40063	40419	-	WP_066443435.1	WP_066443435.1		CidA/LrgA family protein			LOKO_RS00195	357	118	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	40583	41050	+							LOKO_RS00200	468		old_locus_tag=LOKO_00041
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	40583	41050	+	WP_066443437.1	WP_066443437.1		Hsp20/alpha crystallin family protein			LOKO_RS00200	468	155	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	41073	41474	+							LOKO_RS00205	402		old_locus_tag=LOKO_00042
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	41073	41474	+	WP_066443446.1	WP_066443446.1		Hsp20/alpha crystallin family protein			LOKO_RS00205	402	133	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	41601	42653	+							LOKO_RS00210	1053		old_locus_tag=LOKO_00043
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	41601	42653	+	WP_066443449.1	WP_066443449.1		class I fructose-bisphosphate aldolase			LOKO_RS00210	1053	350	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	42747	44738	-					tkt		LOKO_RS00215	1992		old_locus_tag=LOKO_00044
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	42747	44738	-	WP_066443452.1	WP_066443452.1		transketolase	tkt		LOKO_RS00215	1992	663	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	45052	46272	+					metK		LOKO_RS00220	1221		old_locus_tag=LOKO_00045
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	45052	46272	+	WP_066443455.1	WP_066443455.1		methionine adenosyltransferase	metK		LOKO_RS00220	1221	406	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	46442	47851	+					ahcY		LOKO_RS00225	1410		old_locus_tag=LOKO_00046
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	46442	47851	+	WP_066443458.1	WP_066443458.1		adenosylhomocysteinase	ahcY		LOKO_RS00225	1410	469	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	47991	48455	-							LOKO_RS00230	465		old_locus_tag=LOKO_00047
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	47991	48455	-	WP_066443460.1	WP_066443460.1		hypothetical protein			LOKO_RS00230	465	154	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	48461	48820	-							LOKO_RS00235	360		old_locus_tag=LOKO_00048
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	48461	48820	-	WP_066443465.1	WP_066443465.1		DUF6152 family protein			LOKO_RS00235	360	119	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	48909	49874	-							LOKO_RS00240	966		old_locus_tag=LOKO_00049
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	48909	49874	-	WP_235588904.1	WP_235588904.1		AEC family transporter			LOKO_RS00240	966	321	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	50081	50920	+					metF		LOKO_RS00245	840		old_locus_tag=LOKO_00050
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	50081	50920	+	WP_066443473.1	WP_066443473.1		methylenetetrahydrofolate reductase [NAD(P)H]	metF		LOKO_RS00245	840	279	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	50996	51532	+					sodC		LOKO_RS00250	537		old_locus_tag=LOKO_00051
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	50996	51532	+	WP_066443481.1	WP_066443481.1		superoxide dismutase family protein	sodC		LOKO_RS00250	537	178	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	51599	52678	-							LOKO_RS00255	1080		old_locus_tag=LOKO_00052
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	51599	52678	-	WP_066443483.1	WP_066443483.1		TAXI family TRAP transporter solute-binding subunit			LOKO_RS00255	1080	359	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	52790	54949	-							LOKO_RS00260	2160		old_locus_tag=LOKO_00053
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	52790	54949	-	WP_066443486.1	WP_066443486.1		TRAP transporter permease			LOKO_RS00260	2160	719	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	55041	56024	-							LOKO_RS00265	984		old_locus_tag=LOKO_00054
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	55041	56024	-	WP_066443490.1	WP_066443490.1		TAXI family TRAP transporter solute-binding subunit			LOKO_RS00265	984	327	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	56264	57952	-							LOKO_RS00270	1689		old_locus_tag=LOKO_00055
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	56264	57952	-	WP_083517350.1	WP_083517350.1		Na/Pi symporter			LOKO_RS00270	1689	562	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	58000	58245	-							LOKO_RS00275	246		old_locus_tag=LOKO_00056
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	58000	58245	-	WP_066443493.1	WP_066443493.1		YheV family putative metal-binding protein			LOKO_RS00275	246	81	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	58324	60375	-					prlC		LOKO_RS00280	2052		old_locus_tag=LOKO_00057
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	58324	60375	-	WP_066443495.1	WP_066443495.1		oligopeptidase A	prlC		LOKO_RS00280	2052	683	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	60546	61886	+							LOKO_RS00285	1341		old_locus_tag=LOKO_00058
CDS	with_protein	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	60546	61886	+	WP_066443497.1	WP_066443497.1		sodium-dependent transporter			LOKO_RS00285	1341	446	
gene	protein_coding	GCF_001545155.1	Primary Assembly	chromosome		NZ_CP014226.1	61923	62471	+							LOKO_RS00290	549		old_locus_tag=LOKO_00059
