# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	55	1623	+							G3568_RS22810	1569		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	55	1623	+	WP_240457728.1	WP_240457728.1		hypothetical protein			G3568_RS22810	1569	522	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	1715	2584	+							G3568_RS00010	870		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	1715	2584	+	WP_163500224.1	WP_163500224.1		alpha/beta hydrolase			G3568_RS00010	870	289	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	2610	3473	+							G3568_RS00015	864		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	2610	3473	+	WP_163500226.1	WP_163500226.1		SDR family oxidoreductase			G3568_RS00015	864	287	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	3615	4571	-							G3568_RS00020	957		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	3615	4571	-	WP_163500228.1	WP_163500228.1		permease			G3568_RS00020	957	318	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	4669	5547	+							G3568_RS00025	879		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	4669	5547	+	WP_163500230.1	WP_163500230.1		LysR family transcriptional regulator			G3568_RS00025	879	292	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	5902	7065	-							G3568_RS00030	1164		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	5902	7065	-	WP_163500232.1	WP_163500232.1		MFS transporter			G3568_RS00030	1164	387	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	7188	8054	+							G3568_RS00035	867		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	7188	8054	+	WP_240457729.1	WP_240457729.1		LysR family transcriptional regulator			G3568_RS00035	867	288	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	8169	8534	-							G3568_RS00040	366		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	8169	8534	-	WP_163500236.1	WP_163500236.1		hypothetical protein			G3568_RS00040	366	121	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	8616	9458	-							G3568_RS00045	843		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	8616	9458	-	WP_205600878.1	WP_205600878.1		TIR domain-containing protein			G3568_RS00045	843	280	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	9601	10251	-							G3568_RS00050	651		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	9601	10251	-	WP_163500238.1	WP_163500238.1		hypothetical protein			G3568_RS00050	651	216	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	10570	11697	-							G3568_RS00055	1128		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	10570	11697	-	WP_240457730.1	WP_240457730.1		diguanylate cyclase			G3568_RS00055	1128	375	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	11993	12409	+							G3568_RS00060	417		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	11993	12409	+	WP_163500242.1	WP_163500242.1		gamma-glutamylcyclotransferase			G3568_RS00060	417	138	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	12458	12778	+							G3568_RS00065	321		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	12458	12778	+	WP_163500244.1	WP_163500244.1		YdgA family protein			G3568_RS00065	321	106	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	12786	13067	+							G3568_RS00070	282		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	12786	13067	+	WP_163500246.1	WP_163500246.1		DUF503 domain-containing protein			G3568_RS00070	282	93	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	13092	13544	-							G3568_RS00075	453		
