# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	3542993	511	-							BOX17_RS00005	1410		old_locus_tag=BOX17_00005
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	3542993	511	-	WP_071941464.1	WP_071941464.1		cytochrome ubiquinol oxidase subunit I			BOX17_RS00005	1410	469	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	779	1762	-							BOX17_RS00010	984		old_locus_tag=BOX17_00010
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	779	1762	-	WP_071941465.1	WP_071941465.1		calcium/sodium antiporter			BOX17_RS00010	984	327	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	1924	3222	+							BOX17_RS00015	1299		old_locus_tag=BOX17_00015
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	1924	3222	+	WP_244272170.1	WP_244272170.1		paraquat-inducible protein A			BOX17_RS00015	1299	432	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	3219	4907	+					pqiB		BOX17_RS00020	1689		old_locus_tag=BOX17_00020
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	3219	4907	+	WP_071941466.1	WP_071941466.1		intermembrane transport protein PqiB	pqiB		BOX17_RS00020	1689	562	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	4904	5497	+							BOX17_RS00025	594		old_locus_tag=BOX17_00025
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	4904	5497	+	WP_071941467.1	WP_071941467.1		ABC-type transport auxiliary lipoprotein family protein			BOX17_RS00025	594	197	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	5639	6946	+							BOX17_RS00030	1308		old_locus_tag=BOX17_00030
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	5639	6946	+	WP_071941468.1	WP_071941468.1		DEAD/DEAH box helicase			BOX17_RS00030	1308	435	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	7045	7545	+							BOX17_RS00035	501		old_locus_tag=BOX17_00035
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	7045	7545	+	WP_071941469.1	WP_071941469.1		hypothetical protein			BOX17_RS00035	501	166	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	7553	8056	+							BOX17_RS00040	504		old_locus_tag=BOX17_00040
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	7553	8056	+	WP_071941470.1	WP_071941470.1		hypothetical protein			BOX17_RS00040	504	167	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	8231	8947	+							BOX17_RS00045	717		old_locus_tag=BOX17_00045
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	8231	8947	+	WP_071941471.1	WP_071941471.1		ABC transporter ATP-binding protein			BOX17_RS00045	717	238	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	8952	11315	+							BOX17_RS00050	2364		old_locus_tag=BOX17_00050
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	8952	11315	+	WP_071941472.1	WP_071941472.1		FtsX-like permease family protein			BOX17_RS00050	2364	787	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	11354	12562	+							BOX17_RS00055	1209		old_locus_tag=BOX17_00055
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	11354	12562	+	WP_071946500.1	WP_071946500.1		efflux RND transporter periplasmic adaptor subunit			BOX17_RS00055	1209	402	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	12636	13688	+							BOX17_RS00060	1053		old_locus_tag=BOX17_00060
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	12636	13688	+	WP_071941473.1	WP_071941473.1		asparaginase			BOX17_RS00060	1053	350	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	13781	14017	+							BOX17_RS00065	237		old_locus_tag=BOX17_00065
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	13781	14017	+	WP_071941474.1	WP_071941474.1		DUF2789 domain-containing protein			BOX17_RS00065	237	78	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	14120	14530	-							BOX17_RS00070	411		old_locus_tag=BOX17_00070
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	14120	14530	-	WP_071941475.1	WP_071941475.1		SRPBCC family protein			BOX17_RS00070	411	136	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	14605	16035	-					yegQ		BOX17_RS00075	1431		old_locus_tag=BOX17_00075
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	14605	16035	-	WP_071941476.1	WP_071941476.1		tRNA 5-hydroxyuridine modification protein YegQ	yegQ		BOX17_RS00075	1431	476	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	16253	16954	+					queC		BOX17_RS00080	702		old_locus_tag=BOX17_00080
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	16253	16954	+	WP_071941477.1	WP_071941477.1		7-cyano-7-deazaguanine synthase QueC	queC		BOX17_RS00080	702	233	
